Survey,Num Encounters,Avg Diff,SD Diff
PHQ-9,2,-2.65,4.84
PHQ-9,3,-3.181818182,4.78
PHQ-9,4,-4.357142857,6.32
PHQ-9,5,-2.894736842,5.24
PHQ-9,6,-4.428571429,4.26
PHQ-9,7,-3.461538462,4.93
PHQ-9,8,-4.2,4.07
PHQ-9,9,-3.35,4.28
PHQ-9,10,-3.571428571,3.86
PHQ-9,11,-6.2,7.56
PHQ-9,12,-5.6,6.11
PHQ-9,13,-6.666666667,6.98
PHQ-9,14,-1,6.08
PHQ-9,15,1.333333333,0.58
GAD-7,2,-2.388888889,3.76
GAD-7,3,-2.575757576,3.92
GAD-7,4,-3.75,6.69
GAD-7,5,-2.684210526,4.37
GAD-7,6,-4.333333333,3.89
GAD-7,7,-3.785714286,4.58
GAD-7,8,-4.066666667,3.63
GAD-7,9,-4.6,5.23
GAD-7,10,-4.928571429,6.35
GAD-7,11,-1,3.67
GAD-7,12,-6.6,7.06
GAD-7,13,-4.8,5.26
GAD-7,14,-3,5.66
GAD-7,15,1.666666667,3.06
